drug_name,ddinter_id
Latanoprost,DDInter1028
Ledipasvir,DDInter1031
Lefamulin,DDInter1032
Leflunomide,DDInter1033
Lemborexant,DDInter1034
Lenalidomide,DDInter1035
Lenvatinib,DDInter1036
Lepirudin,DDInter1037
Lesinurad,DDInter1038
Letermovir,DDInter1039
Letrozole,DDInter1040
Leucovorin,DDInter1041
Leuprolide,DDInter1042
Levacetylmethadol,DDInter1043
Levamisole,DDInter1044
Levamlodipine,DDInter1045
Levetiracetam,DDInter1046
Levmetamfetamine (nasal),DDInter1047
Levobetaxolol (ophthalmic),DDInter1048
Levobunolol,DDInter1049
Levobunolol (ophthalmic),DDInter1050
Levobupivacaine,DDInter1051
Levocarnitine,DDInter1052
Levocetirizine,DDInter1053
Levodopa,DDInter1054
Levofloxacin,DDInter1055
Levomefolic acid,DDInter1057
Levomefolic acid (calcium),DDInter1058
Levomilnacipran,DDInter1059
Levonordefrin,DDInter1060
Levonorgestrel,DDInter1061
Levorphanol,DDInter1062
Levosalbutamol,DDInter1063
Levothyroxine,DDInter1064
Licorice,DDInter1065
Lidocaine,DDInter1066
Lidocaine (ophthalmic),DDInter1067
Lidocaine (topical),DDInter1068
Linaclotide,DDInter1069
Linagliptin,DDInter1070
Lincomycin,DDInter1071
Lindane,DDInter1072
Linezolid,DDInter1073
Liothyronine,DDInter1074
Liotrix,DDInter1075
Lipoic acid,DDInter1076
Liraglutide,DDInter1077
Lisdexamfetamine,DDInter1078
Lisinopril,DDInter1079
Lithium carbonate,DDInter1081
Lixisenatide,DDInter1082
Lofexidine,DDInter1083
Lomefloxacin,DDInter1084
Lomitapide,DDInter1085
Lomustine,DDInter1086
Lonafarnib,DDInter1087
Loperamide,DDInter1088
Lopinavir,DDInter1089
Loracarbef,DDInter1090
Loratadine,DDInter1091
Lorazepam,DDInter1092
Lorcaserin,DDInter1093
Lorlatinib,DDInter1094
Losartan,DDInter1095
Loteprednol (ophthalmic),DDInter1096
Loteprednol etabonate,DDInter1097
Lovastatin,DDInter1098
Loxapine,DDInter1099
Lubiprostone,DDInter1100
Lumacaftor,DDInter1101
Lumateperone,DDInter1102
Lumefantrine,DDInter1103
Lurasidone,DDInter1104
Lurbinectedin,DDInter1105
Lusutrombopag,DDInter1106
Lutein,DDInter1107
Lutetium Lu 177 dotatate,DDInter1108
Lyme disease vaccine (recombinant OspA),DDInter1109
Macimorelin,DDInter1110
Macitentan,DDInter1111
Magaldrate,DDInter1112
Magnesium carbonate,DDInter1113
Magnesium chloride,DDInter1114
Magnesium citrate,DDInter1115
Magnesium gluconate,DDInter1116
Magnesium glycinate,DDInter1117
Magnesium hydroxide,DDInter1118
Magnesium oxide,DDInter1119
Magnesium sulfate,DDInter1120
Manganese (chloride),DDInter1121
Manganese (sulfate),DDInter1122
Mannitol,DDInter1123
Maprotiline,DDInter1124
Maraviroc,DDInter1125
Mazindol,DDInter1126
Measles virus vaccine live attenuated,DDInter1127
Mebendazole,DDInter1128
Mebrofenin,DDInter1129
Mecamylamine,DDInter1130
Mecasermin,DDInter1131
Mecasermin rinfabate,DDInter1132
Mechlorethamine,DDInter1133
Meclizine,DDInter1134
Meclofenamic acid,DDInter1135
Mecobalamin,DDInter1136
Medroxyprogesterone acetate,DDInter1137
Medrysone (ophthalmic),DDInter1138
Mefenamic acid,DDInter1139
Mefloquine,DDInter1140
Megestrol acetate,DDInter1141
Melatonin,DDInter1142
Meloxicam,DDInter1143
Melphalan,DDInter1144
Melphalan flufenamide,DDInter1145
Memantine,DDInter1146
Meningococcal polysaccharide vaccine group C,DDInter1147
Mepenzolate,DDInter1149
Meperidine,DDInter1150
Mephentermine,DDInter1151
Mephenytoin,DDInter1152
Mepivacaine,DDInter1153
Meprobamate,DDInter1154
Mepyramine,DDInter1155
Mercaptopurine,DDInter1156
Meropenem,DDInter1157
Mesalazine,DDInter1158
Mesoridazine,DDInter1159
Mestranol,DDInter1160
Metamfetamine,DDInter1161
Metaraminol,DDInter1162
Metaxalone,DDInter1163
Metformin,DDInter1164
Methacholine,DDInter1165
Methadone,DDInter1166
Methazolamide,DDInter1167
Methdilazine,DDInter1168
Methenamine,DDInter1169
Methimazole,DDInter1170
Methionine,DDInter1171
Methocarbamol,DDInter1172
Methohexital,DDInter1173
Methotrexate,DDInter1174
Methotrimeprazine,DDInter1175
Methoxamine,DDInter1176
Methoxsalen,DDInter1177
Methoxsalen (topical),DDInter1178
Methoxyflurane,DDInter1179
Methscopolamine,DDInter1180
Methsuximide,DDInter1181
Methyl aminolevulinate (topical),DDInter1182
Methyl salicylate (topical),DDInter1183
Methylcellulose,DDInter1184
Methyldopa,DDInter1185
Methylene blue,DDInter1186
Methylergometrine,DDInter1187
Methylnaltrexone,DDInter1188
Methylphenidate,DDInter1189
Methylphenobarbital,DDInter1190
Methylprednisolone,DDInter1191
Methylprednisolone (topical),DDInter1192
Methyltestosterone,DDInter1193
Methysergide,DDInter1194
Meticillin,DDInter1195
Metipranolol (ophthalmic),DDInter1196
Metoclopramide,DDInter1197
Metocurine,DDInter1198
Metolazone,DDInter1199
Metoprolol,DDInter1200
Metreleptin,DDInter1201
Metronidazole,DDInter1202
Metronidazole (topical),DDInter1203
Metyrosine,DDInter1205
Mexiletine,DDInter1206
Mezlocillin,DDInter1207
Micafungin,DDInter1208
Miconazole,DDInter1209
Miconazole (topical),DDInter1210
Microcrystalline cellulose,DDInter1211
Midazolam,DDInter1212
Midodrine,DDInter1213
Midostaurin,DDInter1214
Mifepristone,DDInter1215
Migalastat,DDInter1216
Miglitol,DDInter1217
Miglustat,DDInter1218
Milnacipran,DDInter1220
Miltefosine,DDInter1222
Mineral oil,DDInter1223
Minocycline,DDInter1224
Minocycline (topical),DDInter1225
Minoxidil,DDInter1226
Minoxidil (topical),DDInter1227
Mipomersen,DDInter1228
Mirabegron,DDInter1229
Mirtazapine,DDInter1230
Misoprostol,DDInter1231
Mitomycin,DDInter1232
Mitotane,DDInter1233
Mitoxantrone,DDInter1234
Mivacurium,DDInter1235
Modafinil,DDInter1236
Moexipril,DDInter1237
Mogamulizumab,DDInter1238
Molindone,DDInter1239
Monomethyl fumarate,DDInter1240
Monopotassium phosphate,DDInter1241
Montelukast,DDInter1242
Moricizine,DDInter1243
Morphine,DDInter1244
Morphine (liposomal),DDInter1245
Moxetumomab Pasudotox,DDInter1246
Moxifloxacin,DDInter1247
Mumps virus strain B level jeryl lynn live antigen,DDInter1248
Mupirocin,DDInter1249
Muromonab,DDInter1250
Mycophenolate mofetil,DDInter1251
Mycophenolic acid,DDInter1252
Nabilone,DDInter1253
Nabumetone,DDInter1254
Nadolol,DDInter1255
Nafcillin,DDInter1256
Nalbuphine,DDInter1257
Naldemedine,DDInter1258
Nalidixic acid,DDInter1259
Nalmefene,DDInter1260
Naloxegol,DDInter1261
Naloxone,DDInter1262
Naltrexone,DDInter1263
Naphazoline (nasal),DDInter1264
Naphazoline (ophthalmic),DDInter1265
Naproxen,DDInter1266
Naratriptan,DDInter1267
Natalizumab,DDInter1268
Nateglinide,DDInter1269
Naxitamab,DDInter1270
Nebivolol,DDInter1271
Nedocromil,DDInter1273
Nefazodone,DDInter1274
Nelarabine,DDInter1275
Nelfinavir,DDInter1276
Neomycin,DDInter1277
Neomycin (topical),DDInter1278
Neostigmine,DDInter1279
Nepafenac (ophthalmic),DDInter1280
Neratinib,DDInter1281
Nesiritide,DDInter1282
Netilmicin,DDInter1283
Netupitant,DDInter1284
Nevirapine,DDInter1285
Niacin,DDInter1286
Nicardipine,DDInter1287
Niclosamide,DDInter1288
Nicotinamide,DDInter1289
Nicotine,DDInter1290
Nifedipine,DDInter1291
Nifurtimox,DDInter1292
Nilotinib,DDInter1293
Nilutamide,DDInter1294
Nimodipine,DDInter1295
Nintedanib,DDInter1296
Niraparib,DDInter1297
Nisoldipine,DDInter1298
Nitazoxanide,DDInter1299
Nitisinone,DDInter1300
Nitrazepam,DDInter1301
Nitric Oxide,DDInter1302
Nitrofurantoin,DDInter1303
Nitroglycerin,DDInter1304
Nitroprusside,DDInter1305
Nitrous acid,DDInter1306
Nitrous oxide,DDInter1307
Nivolumab,DDInter1308
Nizatidine,DDInter1309
Norepinephrine,DDInter1311
Norethisterone,DDInter1312
Norfloxacin,DDInter1313
Norgestimate,DDInter1314
Norgestrel,DDInter1315
Nortriptyline,DDInter1316
Novobiocin,DDInter1317
Nystatin,DDInter1318
Obeticholic acid,DDInter1319
Obinutuzumab,DDInter1320
Ocrelizumab,DDInter1321
Octasulfur (topical),DDInter1322
Octreotide,DDInter1323
Ofatumumab,DDInter1324
Ofloxacin,DDInter1325
Olanzapine,DDInter1326
Olaparib,DDInter1327
Oliceridine,DDInter1329
Olmesartan,DDInter1330
Olodaterol,DDInter1331
Olopatadine,DDInter1332
Olopatadine (nasal),DDInter1333
Olsalazine,DDInter1334
Omacetaxine mepesuccinate,DDInter1335
Omadacycline,DDInter1336
Omalizumab,DDInter1337
Omega-3 fatty acids,DDInter1339
Omeprazole,DDInter1340
Onasemnogene abeparvovec,DDInter1341
Ondansetron,DDInter1342
Opicapone,DDInter1343
Opium,DDInter1344
Orciprenaline,DDInter1346
Oritavancin,DDInter1347
Orlistat,DDInter1348
Orphenadrine,DDInter1349
Oseltamivir,DDInter1350
Osilodrostat,DDInter1351
Osimertinib,DDInter1352
Ospemifene,DDInter1353
Oxacillin,DDInter1354
Oxaliplatin,DDInter1355
Oxamniquine,DDInter1356
Oxandrolone,DDInter1357
Oxaprozin,DDInter1358
Oxazepam,DDInter1359
Oxcarbazepine,DDInter1360
Oxitriptan,DDInter1362
Oxtriphylline,DDInter1363
Oxybuprocaine (ophthalmic),DDInter1364
Oxybutynin,DDInter1365
Oxycodone,DDInter1366
Oxymetazoline (nasal),DDInter1368
Oxymetazoline (ophthalmic),DDInter1369
Oxymetazoline (topical),DDInter1370
Oxymetholone,DDInter1371
Oxymorphone,DDInter1372
Oxyquinoline (topical),DDInter1373
Oxytetracycline,DDInter1374
Oxytocin,DDInter1375
Ozanimod,DDInter1376
Paclitaxel,DDInter1377
Paclitaxel (protein-bound),DDInter1378
Palbociclib,DDInter1379
Palifermin,DDInter1380
Paliperidone,DDInter1381
Palonosetron,DDInter1382
Pamidronic acid,DDInter1383
Pancrelipase,DDInter1384
Pancuronium,DDInter1385
Panitumumab,DDInter1386
Panobinostat,DDInter1387
Pantoprazole,DDInter1388
Papaverine,DDInter1389
Papaya,DDInter1390
Paraldehyde,DDInter1391
Paramethadione,DDInter1392
Parathyroid hormone,DDInter1393
Paricalcitol,DDInter1394
Paritaprevir,DDInter1395
Paromomycin,DDInter1396
Paroxetine,DDInter1397
Pasireotide,DDInter1398
Patiromer,DDInter1399
Pazopanib,DDInter1400
Pectin,DDInter1401
Pegademase,DDInter1402
Pegaptanib (ophthalmic),DDInter1403
Pegaspargase,DDInter1404
Pegfilgrastim,DDInter1405
Peginesatide,DDInter1406
Peginterferon alfa-2a,DDInter1407
Peginterferon alfa-2b,DDInter1408
Peginterferon beta-1a,DDInter1409
Pegloticase,DDInter1410
Pegvaliase,DDInter1411
Pegvisomant,DDInter1412
Pembrolizumab,DDInter1413
Pemetrexed,DDInter1414
Pemigatinib,DDInter1415
Pemoline,DDInter1416
Penbutolol,DDInter1417
Penciclovir (topical),DDInter1418
Penicillamine,DDInter1419
Pentamidine,DDInter1420
Pentazocine,DDInter1421
Pentobarbital,DDInter1423
Pentosan polysulfate,DDInter1424
Pentostatin,DDInter1425
Pentoxifylline,DDInter1426
Pentoxyverine,DDInter1427
Perampanel,DDInter1428
Perflutren,DDInter1429
Pergolide,DDInter1430
Perindopril,DDInter1431
Perphenazine,DDInter1432
Pexidartinib,DDInter1435
Pfizer-BioNTech Covid-19 Vaccine,DDInter1436
Phenacemide,DDInter1437
Phenazopyridine,DDInter1438
Phendimetrazine,DDInter1439
Phenelzine,DDInter1440
Phenindamine,DDInter1441
Phenobarbital,DDInter1442
Phenolphthalein,DDInter1443
Phenoxybenzamine,DDInter1444
Phenoxymethylpenicillin,DDInter1445
Phensuximide,DDInter1446
Phentermine,DDInter1447
Phentolamine,DDInter1448
Phenyl salicylate,DDInter1449
Phenylbutazone,DDInter1451
Phenylbutyric acid,DDInter1452
Phenylephrine,DDInter1453
Phenylephrine (nasal),DDInter1454
Phenylephrine (ophthalmic),DDInter1455
Phenylephrine (topical),DDInter1457
Phenylpropanolamine,DDInter1458
Phenyltoloxamine,DDInter1459
Phenytoin,DDInter1460
Phylloquinone,DDInter1461
Physostigmine,DDInter1462
Physostigmine (ophthalmic),DDInter1463
Picosulfuric acid,DDInter1464
Pilocarpine,DDInter1465
Pilocarpine (ophthalmic),DDInter1466
Pimavanserin,DDInter1467
Pimecrolimus,DDInter1468
Pimecrolimus (topical),DDInter1469
Pimozide,DDInter1470
Pindolol,DDInter1471
Pioglitazone,DDInter1472
Pipecuronium,DDInter1473
Piperacillin,DDInter1474
Piperazine,DDInter1475
Pirbuterol,DDInter1476
Pirfenidone,DDInter1477
Piroxicam,DDInter1478
Pitavastatin,DDInter1479
Pitolisant,DDInter1480
Plantago seed,DDInter1481
Plazomicin,DDInter1482
Plecanatide,DDInter1483
Plicamycin,DDInter1484
Polatuzumab vedotin,DDInter1485
Poliovirus type 1 antigen (formaldehyde inactivated),DDInter1486
Polyethylene glycol (3350 with electrolytes),DDInter1487
Polyethylene glycol (3350),DDInter1488
Polymyxin B,DDInter1489
Polythiazide,DDInter1490
Pomalidomide,DDInter1491
Ponatinib,DDInter1492
Porfimer sodium,DDInter1493
Posaconazole,DDInter1494
Potassium Iodide,DDInter1500
Potassium acetate,DDInter1495
Potassium bicarbonate,DDInter1496
Potassium chloride,DDInter1497
Potassium citrate,DDInter1498
Potassium gluconate,DDInter1499
Potassium perchlorate,DDInter1501
Pralatrexate,DDInter1502
Pralidoxime,DDInter1503
Pralsetinib,DDInter1504
Pramipexole,DDInter1505
Pramlintide,DDInter1506
Prasterone enantate,DDInter1507
Prasugrel,DDInter1508
Pravastatin,DDInter1509
Praziquantel,DDInter1510
Prazosin,DDInter1511
Prednicarbate (topical),DDInter1512
Prednisolone,DDInter1513
Prednisolone (ophthalmic),DDInter1514
Prednisone,DDInter1515
Pregabalin,DDInter1516
Pretomanid,DDInter1517
Prilocaine,DDInter1518
Prilocaine (topiclal),DDInter1519
Primaquine,DDInter1520
Primidone,DDInter1521
Probenecid,DDInter1522
Probucol,DDInter1523
Procainamide,DDInter1524
Procaine,DDInter1525
Procarbazine,DDInter1526
Prochlorperazine,DDInter1527
Procyclidine,DDInter1528
Progesterone,DDInter1529
Progesterone (topical),DDInter1530
Proguanil,DDInter1531
Promazine,DDInter1532
Promethazine,DDInter1533
Propafenone,DDInter1534
Propantheline,DDInter1535
Proparacaine (ophthalmic),DDInter1536
Propiomazine,DDInter1537
Propofol,DDInter1538
Propranolol,DDInter1539
Propylhexedrine (nasal),DDInter1540
Propylthiouracil,DDInter1541
Protein C,DDInter1542
Protriptyline,DDInter1543
Prucalopride,DDInter1544
Pseudoephedrine,DDInter1545
Pyrantel,DDInter1546
Pyrazinamide,DDInter1547
Pyridostigmine,DDInter1548
Pyridoxine,DDInter1549
Pyrimethamine,DDInter1550
Pyrophosphoric acid,DDInter1551
Quazepam,DDInter1552
Quetiapine,DDInter1553
Quinapril,DDInter1554
Quinestrol,DDInter1555
Quinidine,DDInter1556
Quinine,DDInter1557
Quinupristin,DDInter1558
Rabeprazole,DDInter1559
Racepinephrine,DDInter1560
Radium Ra 223 dichloride,DDInter1561
Raloxifene,DDInter1562
Raltegravir,DDInter1563
Ramelteon,DDInter1564
Ramipril,DDInter1565
Ramucirumab,DDInter1566
Ranitidine,DDInter1568
Ranitidine (bismuth citrate),DDInter1569
Ranolazine,DDInter1570
Rapacuronium,DDInter1571
Rasagiline,DDInter1572
Rasburicase,DDInter1573
Regadenoson,DDInter1575
Regorafenib,DDInter1576
Relugolix,DDInter1577
Remdesivir,DDInter1578
Remifentanil,DDInter1579
Remimazolam,DDInter1580
Repaglinide,DDInter1581
Reserpine,DDInter1582
Resorcinol (topical),DDInter1583
Retapamulin (topical),DDInter1584
Reteplase,DDInter1585
Revefenacin,DDInter1586
Ribavirin,DDInter1587
Ribociclib,DDInter1588
Rifabutin,DDInter1589
Rifampicin,DDInter1590
Rifamycin,DDInter1591
Rifapentine,DDInter1592
Rifaximin,DDInter1593
Rilonacept,DDInter1594
Rilpivirine,DDInter1595
Riluzole,DDInter1596
Rimantadine,DDInter1597
Rimegepant,DDInter1598
Rimexolone (ophthalmic),DDInter1599
Riociguat,DDInter1600
Ripretinib,DDInter1601
Risankizumab,DDInter1602
Risdiplam,DDInter1603
Risedronic acid,DDInter1604
Risperidone,DDInter1605
Ritodrine,DDInter1606
Ritonavir,DDInter1607
Rituximab,DDInter1608
Rivaroxaban,DDInter1609
Rivastigmine,DDInter1610
Rizatriptan,DDInter1611
Rocuronium,DDInter1612
Rofecoxib,DDInter1613
Roflumilast,DDInter1614
Rolapitant,DDInter1615
Romidepsin,DDInter1616
Romiplostim,DDInter1617
Romosozumab,DDInter1618
Ropinirole,DDInter1619
Ropivacaine,DDInter1620
Rosiglitazone,DDInter1621
Rosuvastatin,DDInter1622
Rotavirus vaccine,DDInter1623
Rotigotine,DDInter1624
Rubella virus vaccine,DDInter1625
Rucaparib,DDInter1626
Rufinamide,DDInter1627
Ruxolitinib,DDInter1628
Sacituzumab govitecan,DDInter1629
Sacubitril,DDInter1630
Safinamide,DDInter1631
Salbutamol,DDInter1632
Salicylic acid (sodium),DDInter1633
Salicylic acid (topical),DDInter1634
Salmeterol,DDInter1635
Salmon calcitonin,DDInter1636
Salsalate,DDInter1637
Samarium (153Sm) lexidronam,DDInter1638
Sapropterin,DDInter1639
Saquinavir,DDInter1640
Sarecycline,DDInter1641
Sargramostim,DDInter1642
Sarilumab,DDInter1643
Satralizumab,DDInter1644
Saw palmetto,DDInter1645
Saxagliptin,DDInter1646
Scopolamine,DDInter1647
Scopolamine (ophthalmic),DDInter1648
Secnidazole,DDInter1649
Secobarbital,DDInter1650
Secretin human,DDInter1651
Secukinumab,DDInter1652
Selegiline,DDInter1653
Selenium,DDInter1654
Selenium Sulfide,DDInter1655
Selexipag,DDInter1656
Selinexor,DDInter1657
Selpercatinib,DDInter1658
Selumetinib,DDInter1659
Semaglutide,DDInter1660
Sermorelin,DDInter1661
Sertraline,DDInter1662
Sevelamer,DDInter1663
Sevoflurane,DDInter1664
Sibutramine,DDInter1665
Sildenafil,DDInter1666
Silodosin,DDInter1667
Siltuximab,DDInter1668
Silver (topical),DDInter1669
Silver nitrate (ophthalmic),DDInter1670
Silver nitrate (topical),DDInter1671
Silver sulfadiazine (topical),DDInter1672
Simeprevir,DDInter1673
Simvastatin,DDInter1675
Siponimod,DDInter1676
Sipuleucel-T,DDInter1677
Sirolimus,DDInter1678
Sitagliptin,DDInter1679
"Smallpox (Vaccinia) Vaccine, Live",DDInter1680
Sodium acetate,DDInter1681
Sodium aurothiomalate,DDInter1682
Sodium bicarbonate,DDInter1683
Sodium chloride,DDInter1685
Sodium citrate,DDInter1686
Sodium ferric gluconate complex,DDInter1687
Sodium glycerophosphate,DDInter1688
Sodium oxybate,DDInter1690
"Sodium phosphate, monobasic",DDInter1691
"Sodium phosphate, monobasic (p32)",DDInter1692
Sodium sulfate,DDInter1693
Sodium zirconium cyclosilicate,DDInter1694
Sofosbuvir,DDInter1695
Solifenacin,DDInter1696
Solriamfetol,DDInter1697
Somapacitan,DDInter1698
Somatotropin,DDInter1699
Somatrem,DDInter1700
Sonidegib,DDInter1701
Sorafenib,DDInter1702
Sorbitol,DDInter1703
Sotalol,DDInter1704
Sparfloxacin,DDInter1705
Spectinomycin,DDInter1706
Spironolactone,DDInter1707
St. John's Wort,DDInter1708
Stanozolol,DDInter1709
Stavudine,DDInter1710
Stiripentol,DDInter1711
Streptokinase,DDInter1712
Streptomycin,DDInter1713
Streptozocin,DDInter1714
Strontium chloride Sr-89,DDInter1715
Succinylcholine,DDInter1716
Sucralfate,DDInter1717
Sufentanil,DDInter1718
Sugammadex,DDInter1719
Sulfacetamide (ophthalmic),DDInter1720
Sulfadiazine,DDInter1721
Sulfadoxine,DDInter1722
Sulfamethizole,DDInter1723
Sulfamethoxazole,DDInter1724
Sulfasalazine,DDInter1725
Sulfinpyrazone,DDInter1726
Sulfisoxazole,DDInter1727
Sulindac,DDInter1729
Sumatriptan,DDInter1730
Sunitinib,DDInter1731
Suprofen (ophthalmic),DDInter1732
Suvorexant,DDInter1733
Tacrine,DDInter1734
Tacrolimus,DDInter1735
Tadalafil,DDInter1736
Tafamidis,DDInter1737
Tafasitamab,DDInter1738
Tafenoquine,DDInter1739
Tagraxofusp,DDInter1741
Talazoparib,DDInter1742
Talimogene laherparepvec,DDInter1743
Tamoxifen,DDInter1744
Tamsulosin,DDInter1745
Tapentadol,DDInter1746
Tasimelteon,DDInter1747
Tazarotene,DDInter1748
Tazarotene (topical),DDInter1749
Tazemetostat,DDInter1750
Tedizolid,DDInter1752
Teduglutide,DDInter1753
Tegaserod,DDInter1754
Telaprevir,DDInter1755
Telavancin,DDInter1756
Telbivudine,DDInter1757
Telithromycin,DDInter1758
Telmisartan,DDInter1759
Telotristat ethyl,DDInter1760
Temazepam,DDInter1761
Temozolomide,DDInter1762
Temsirolimus,DDInter1763
Tenecteplase,DDInter1764
Teniposide,DDInter1765
Teprotumumab,DDInter1766
Terazosin,DDInter1767
Terbinafine,DDInter1768
Terbutaline,DDInter1769
Terfenadine,DDInter1770
Teriflunomide,DDInter1771
Teriparatide,DDInter1772
Tesamorelin,DDInter1773
Testolactone,DDInter1774
Testosterone,DDInter1775
Testosterone (topical),DDInter1776
Tetrabenazine,DDInter1778
Tetracaine,DDInter1779
Tetracaine (ophthalmic),DDInter1780
Tetracaine (topical),DDInter1781
Tetracosactide,DDInter1782
Tetracycline,DDInter1783
Tetracycline (topical),DDInter1784
Tetraferric tricitrate decahydrate,DDInter1785
Tetryzoline (nasal),DDInter1787
Tetryzoline (ophthalmic),DDInter1788
Thalidomide,DDInter1789
Thallous Chloride,DDInter1790
Theophylline,DDInter1791
Thiabendazole,DDInter1792
Thiethylperazine,DDInter1793
Thimerosal (topical),DDInter1794
Thiopental,DDInter1795
Thioridazine,DDInter1796
Thiotepa,DDInter1797
Thiothixene,DDInter1798
"Thyroid, porcine",DDInter1799
Thyrotropin alfa,DDInter1800
Tiagabine,DDInter1801
Ticagrelor,DDInter1802
Ticarcillin,DDInter1803
Ticlopidine,DDInter1804
Tigecycline,DDInter1805
Tildrakizumab,DDInter1806
Tilmanocept,DDInter1807
Tiludronic acid,DDInter1808
Timolol,DDInter1809
Timolol (ophthalmic),DDInter1810
Tinidazole,DDInter1811
Tinzaparin,DDInter1812
Tioconazole,DDInter1813
Tioguanine,DDInter1814
Tiotropium,DDInter1815
Tipiracil,DDInter1816
Tipranavir,DDInter1817
Tirofiban,DDInter1818
Tisagenlecleucel,DDInter1819
Tizanidine,DDInter1821
Tobramycin,DDInter1822
Tocainide,DDInter1823
Tocilizumab,DDInter1824
Tofacitinib,DDInter1825
Tolazamide,DDInter1826
Tolazoline,DDInter1827
Tolbutamide,DDInter1828
Tolcapone,DDInter1829
Tolevamer,DDInter1830
Tolmetin,DDInter1831
Tolterodine,DDInter1832
Tolvaptan,DDInter1833
Topiramate,DDInter1834
Topotecan,DDInter1835
Torasemide,DDInter1836
Toremifene,DDInter1837
Tositumomab,DDInter1838
Tositumomab (I-131),DDInter1839
Trabectedin,DDInter1840
Tramadol,DDInter1841
Trametinib,DDInter1842
Trandolapril,DDInter1843
Tranexamic acid,DDInter1844
Tranylcypromine,DDInter1845
Trastuzumab,DDInter1846
Trastuzumab deruxtecan,DDInter1847
Trastuzumab emtansine,DDInter1848
Travoprost,DDInter1849
Trazodone,DDInter1851
Treprostinil,DDInter1852
Tretinoin,DDInter1853
Tretinoin (topical),DDInter1854
Triamcinolone,DDInter1855
Triamcinolone (nasal),DDInter1856
Triamcinolone (ophthalmic),DDInter1857
Triamcinolone (topical),DDInter1858
Triamterene,DDInter1859
Triazolam,DDInter1860
Trichlormethiazide,DDInter1861
Trichophyton mentagrophytes,DDInter1862
Triclabendazole,DDInter1863
Triethylenetetramine,DDInter1864
Trifarotene (topical),DDInter1865
Trifluoperazine,DDInter1866
Triflupromazine,DDInter1867
Trifluridine,DDInter1868
Triheptanoin,DDInter1869
Trihexyphenidyl,DDInter1870
Trimethadione,DDInter1871
Trimethaphan,DDInter1872
Trimethobenzamide,DDInter1873
Trimethoprim,DDInter1874
Trimetrexate,DDInter1875
Trimipramine,DDInter1876
Trioxsalen,DDInter1877
Tripelennamine,DDInter1878
Triprolidine,DDInter1879
Triptorelin,DDInter1880
Troglitazone,DDInter1881
Troleandomycin,DDInter1882
Tromethamine,DDInter1883
Tropicamide,DDInter1884
Trospium,DDInter1886
Trovafloxacin,DDInter1887
Tryptophan,DDInter1888
Tuberculin purified protein derivative,DDInter1889
Tubocurarine,DDInter1890
Tucatinib,DDInter1891
Turmeric,DDInter1892
Typhoid vaccine (inactivated),DDInter1893
Typhoid vaccine (live),DDInter1894
Ubrogepant,DDInter1896
Ulipristal,DDInter1897
Ulobetasol (topical),DDInter1898
Umeclidinium,DDInter1899
Upadacitinib,DDInter1901
Uracil mustard,DDInter1902
Urea,DDInter1903
Urokinase,DDInter1905
Ursodeoxycholic acid,DDInter1906
Ustekinumab,DDInter1907
Valaciclovir,DDInter1908
Valbenazine,DDInter1909
Valdecoxib,DDInter1910
Valerian,DDInter1911
Valganciclovir,DDInter1912
Valproic acid,DDInter1913
Valsartan,DDInter1915
Vancomycin,DDInter1916
Vandetanib,DDInter1917
Vardenafil,DDInter1918
Varenicline,DDInter1919
Varicella Zoster Vaccine (Recombinant),DDInter1920
Vasopressin,DDInter1921
Vecuronium,DDInter1922
Vedolizumab,DDInter1923
Velpatasvir,DDInter1924
Vemurafenib,DDInter1925
Venetoclax,DDInter1926
Venlafaxine,DDInter1927
Verapamil,DDInter1928
Verteporfin,DDInter1929
Vibegron,DDInter1930
Vibrio cholerae CVD 103-HgR strain live antigen,DDInter1931
Vibrio cholerae CVD 103-HgR strain live antigen (live),DDInter1932
Vigabatrin,DDInter1933
Vilanterol,DDInter1934
Vilazodone,DDInter1935
Vinblastine,DDInter1936
Vincristine,DDInter1937
Vincristine (liposome),DDInter1938
Vinorelbine,DDInter1939
Vismodegib,DDInter1940
Vitamin A,DDInter1941
Vitamin D,DDInter1942
Vitamin E,DDInter1943
Von Willebrand Factor Human,DDInter1944
Vorapaxar,DDInter1945
Voriconazole,DDInter1946
Vorinostat,DDInter1947
Vortioxetine,DDInter1948
Voxelotor,DDInter1949
Voxilaprevir,DDInter1950
Warfarin,DDInter1951
Xylometazoline (nasal),DDInter1952
Yellow Fever Vaccine,DDInter1953
Yohimbine,DDInter1954
Zafirlukast,DDInter1955
Zalcitabine,DDInter1956
Zaleplon,DDInter1957
Zanamivir,DDInter1958
Zanubrutinib,DDInter1959
Ziconotide,DDInter1960
Zidovudine,DDInter1961
Zileuton,DDInter1962
Zinc acetate,DDInter1963
Zinc chloride,DDInter1964
Zinc gluconate,DDInter1965
Zinc sulfate,DDInter1966
Ziprasidone,DDInter1967
Zoledronic acid,DDInter1968
Zolmitriptan,DDInter1969
Zolpidem,DDInter1970
Zonisamide,DDInter1971
Zopiclone,DDInter1972
gamma-Aminobutyric acid,DDInter805
