drug_name,ddinter_id
Brexucabtagene autoleucel,DDInter232
Brigatinib,DDInter233
Brimonidine,DDInter234
Brimonidine (ophthalmic),DDInter235
Brimonidine (topical),DDInter236
Brinzolamide,DDInter237
Brinzolamide (ophthalmic),DDInter238
Brivaracetam,DDInter239
Brodalumab,DDInter240
Bromfenac,DDInter241
Bromfenac (ophthalmic),DDInter242
Bromocriptine,DDInter243
Bromotheophylline,DDInter244
Brompheniramine,DDInter245
Budesonide,DDInter246
Budesonide (nasal),DDInter247
Bumetanide,DDInter248
Bupivacaine,DDInter249
Bupivacaine (liposome),DDInter250
Buprenorphine,DDInter251
Bupropion,DDInter252
Burosumab,DDInter253
Buspirone,DDInter254
Busulfan,DDInter255
Butabarbital,DDInter256
Butalbital,DDInter257
Butorphanol,DDInter258
Cabazitaxel,DDInter259
Cabergoline,DDInter260
Cabotegravir,DDInter261
Cabozantinib,DDInter262
Caffeine,DDInter263
Calaspargase pegol,DDInter264
Calcifediol,DDInter265
Calcipotriol,DDInter266
Calcipotriol (topical),DDInter267
Calcitriol,DDInter268
Calcitriol (topical),DDInter269
Calcium Phosphate,DDInter279
Calcium acetate,DDInter270
Calcium carbonate,DDInter271
Calcium chloride,DDInter272
Calcium citrate,DDInter273
Calcium glubionate anhydrous,DDInter274
Calcium glucoheptonate,DDInter275
Calcium gluconate,DDInter276
Calcium glycerophosphate,DDInter277
Calcium lactate,DDInter278
Canagliflozin,DDInter280
Canakinumab,DDInter281
Candida albicans,DDInter282
Cangrelor,DDInter283
Cannabidiol,DDInter284
Capecitabine,DDInter285
Caplacizumab,DDInter286
Capmatinib,DDInter287
Capreomycin,DDInter288
Capsicum,DDInter291
Captopril,DDInter292
Carbamazepine,DDInter293
Carbamoylcholine (ophthalmic),DDInter294
Carbenicillin,DDInter295
Carbinoxamine,DDInter297
Carboplatin,DDInter298
Carfilzomib,DDInter299
Cariprazine,DDInter300
Carisoprodol,DDInter301
Carmustine,DDInter302
Carteolol,DDInter303
Carteolol (ophthalmic),DDInter304
Carvedilol,DDInter305
Caspofungin,DDInter306
Castor oil,DDInter307
Cefaclor,DDInter309
Cefadroxil,DDInter310
Cefalotin,DDInter311
Cefamandole,DDInter312
Cefapirin,DDInter313
Cefazolin,DDInter314
Cefdinir,DDInter315
Cefditoren,DDInter316
Cefepime,DDInter317
Cefiderocol,DDInter318
Cefixime,DDInter319
Cefmetazole,DDInter320
Cefonicid,DDInter321
Cefoperazone,DDInter322
Cefotaxime,DDInter323
Cefotetan,DDInter324
Cefoxitin,DDInter325
Cefpodoxime,DDInter326
Cefprozil,DDInter327
Cefradine,DDInter328
Ceftaroline fosamil,DDInter329
Ceftazidime,DDInter330
Ceftibuten,DDInter331
Ceftizoxime,DDInter332
Ceftolozane,DDInter333
Ceftriaxone,DDInter334
Cefuroxime,DDInter335
Celecoxib,DDInter336
Cemiplimab,DDInter337
Cenobamate,DDInter338
Cephalexin,DDInter339
Ceritinib,DDInter340
Cerivastatin,DDInter341
Certolizumab pegol,DDInter342
Cetirizine,DDInter343
Cetuximab,DDInter344
Cetylpyridinium (topical),DDInter345
Cevimeline,DDInter346
Chamomile,DDInter347
Chenodeoxycholic acid,DDInter348
Chloral hydrate,DDInter349
Chlorambucil,DDInter350
Chloramphenicol,DDInter351
Chloramphenicol (ophthalmic),DDInter352
Chloramphenicol (otic),DDInter353
Chlorcyclizine,DDInter354
Chlordiazepoxide,DDInter355
Chlorhexidine,DDInter356
Chlormezanone,DDInter357
Chloroprocaine,DDInter358
Chloroquine,DDInter359
Chlorothiazide,DDInter360
Chlorphenesin,DDInter361
Chlorpheniramine,DDInter362
Chlorpromazine,DDInter363
Chlorpropamide,DDInter364
Chlorthalidone,DDInter365
Chlorzoxazone,DDInter366
Cholecalciferol,DDInter367
Cholestyramine,DDInter368
Cholic Acid,DDInter369
Choline salicylate,DDInter370
Chondroitin sulfate,DDInter371
Chromic chloride,DDInter373
Chromium picolinate,DDInter374
Ciclesonide,DDInter375
Ciclesonide (nasal),DDInter376
Ciclopirox,DDInter377
Cidofovir,DDInter378
Cilostazol,DDInter379
Cimetidine,DDInter380
Cinacalcet,DDInter381
Cinchocaine (topical),DDInter382
Cinoxacin,DDInter383
Ciprofloxacin,DDInter384
Cisapride,DDInter385
Cisatracurium,DDInter386
Cisplatin,DDInter387
Citalopram,DDInter388
Citric acid,DDInter390
Citrus bioflavonoids,DDInter391
Cladribine,DDInter392
Clarithromycin,DDInter393
Clavulanic acid,DDInter394
Clemastine,DDInter395
Clevidipine,DDInter396
Clidinium,DDInter397
Clindamycin,DDInter398
Clindamycin (topical),DDInter399
Clioquinol (topical),DDInter400
Clobazam,DDInter401
Clobetasol,DDInter402
Clobetasol (topical),DDInter403
Clocortolone (topical),DDInter404
Clofarabine,DDInter405
Clofazimine,DDInter406
Clofedanol,DDInter407
Clofibrate,DDInter408
Clomipramine,DDInter410
Clonazepam,DDInter411
Clonidine,DDInter412
Clopidogrel,DDInter413
Clorazepic acid,DDInter414
Clostridium tetani toxoid antigen (formaldehyde inactivated),DDInter415
Clotrimazole,DDInter416
Clove,DDInter417
Cloxacillin,DDInter418
Clozapine,DDInter419
Coagulation Factor IX Human,DDInter420
Coagulation factor VIIa Recombinant Human,DDInter421
Coagulation factor X human,DDInter422
Coal tar (topical),DDInter423
Cobicistat,DDInter424
Cobimetinib,DDInter425
Cocaine (nasal),DDInter426
Cocaine (topical),DDInter427
Coccidioides immitis spherule,DDInter428
Codeine,DDInter429
Coenzyme M,DDInter430
Colchicine,DDInter431
Colesevelam,DDInter432
Colestipol,DDInter433
Colistimethate,DDInter434
Collagenase clostridium histolyticum,DDInter435
Collagenase clostridium histolyticum (topical),DDInter436
Conestat alfa,DDInter437
Conivaptan,DDInter438
Conjugated estrogens,DDInter439
Conjugated estrogens (topical),DDInter440
Copanlisib,DDInter441
Copper gluconate,DDInter442
Corticotropin,DDInter445
Cranberry,DDInter446
Creatine,DDInter447
Crizotinib,DDInter448
Cromoglicic acid,DDInter449
Cyanocobalamin,DDInter451
Cyclandelate,DDInter452
Cyclizine,DDInter453
Cyclobenzaprine,DDInter454
Cyclophosphamide,DDInter456
Cycloserine,DDInter457
Cyclosporine,DDInter458
Cyproheptadine,DDInter459
Cytarabine,DDInter460
Dabrafenib,DDInter462
Dacarbazine,DDInter463
Daclatasvir,DDInter464
Dacomitinib,DDInter465
Dactinomycin,DDInter466
Dalbavancin,DDInter467
Dalfampridine,DDInter468
Dalfopristin,DDInter469
Dalteparin,DDInter470
Danaparoid,DDInter471
Danazol,DDInter472
Dantrolene,DDInter473
Dapagliflozin,DDInter474
Dapsone,DDInter475
Dapsone (topical),DDInter476
Daptomycin,DDInter477
Daratumumab,DDInter478
Darbepoetin alfa,DDInter479
Darifenacin,DDInter480
Darolutamide,DDInter481
Darunavir,DDInter482
Dasatinib,DDInter484
Daunorubicin,DDInter485
Daunorubicin (liposomal),DDInter486
Decitabine,DDInter487
Deferasirox,DDInter488
Deferiprone,DDInter489
Deferoxamine,DDInter490
Defibrotide,DDInter491
Deflazacort,DDInter492
Degarelix,DDInter493
Delafloxacin,DDInter495
Delavirdine,DDInter496
Demecarium (ophthalmic),DDInter497
Demeclocycline,DDInter498
Denileukin diftitox,DDInter499
Denosumab,DDInter500
Deoxycholic acid,DDInter501
Deserpidine,DDInter502
Desflurane,DDInter503
Desipramine,DDInter504
Desirudin,DDInter505
Desloratadine,DDInter506
Desmopressin,DDInter507
Desogestrel,DDInter508
Desonide (topical),DDInter509
Desoximetasone (topical),DDInter510
Desvenlafaxine,DDInter511
Deutetrabenazine,DDInter512
Dexamethasone,DDInter513
Dexamethasone (nasal),DDInter514
Dexamethasone (ophthalmic),DDInter515
Dexamethasone (topical),DDInter516
Dexbrompheniramine,DDInter517
Dexfenfluramine,DDInter518
Dexlansoprazole,DDInter519
Dexmedetomidine,DDInter520
Dexmethylphenidate,DDInter521
Dextran (-1),DDInter523
Dextran (high molecular weight),DDInter524
Dextran (low molecular weight),DDInter525
Dextroamphetamine,DDInter526
Dextromethorphan,DDInter527
Dextropropoxyphene,DDInter528
Dextrothyroxine,DDInter530
Dezocine,DDInter531
Diamorphine,DDInter532
Diatrizoate,DDInter533
Diazepam,DDInter534
Diazoxide,DDInter535
Dichloralphenazone,DDInter536
Diclofenac,DDInter537
Diclofenac (ophthalmic),DDInter538
Diclofenac (topical),DDInter539
Diclofenamide,DDInter540
Dicloxacillin,DDInter541
Dicoumarol,DDInter542
Dicyclomine,DDInter543
Didanosine,DDInter544
Dienestrol (topical),DDInter545
Dienogest,DDInter546
Diethylpropion,DDInter547
Diethylstilbestrol,DDInter548
Difenoxin,DDInter549
Diflorasone (topical),DDInter550
Diflunisal,DDInter551
Difluprednate (ophthalmic),DDInter552
Digitoxin,DDInter553
Digoxin,DDInter554
Dihydrocodeine,DDInter556
Dihydroergotamine,DDInter557
Dihydrotachysterol,DDInter558
Diiodohydroxyquinoline,DDInter559
Diltiazem,DDInter561
Dimenhydrinate,DDInter562
Dimercaprol,DDInter563
Dimethyl fumarate,DDInter564
Dinoprostone (topical),DDInter567
Dinutuximab,DDInter568
Diphenhydramine,DDInter569
Diphenhydramine (topical),DDInter570
Diphenoxylate,DDInter571
Dipivefrin (ophthalmic),DDInter572
Dipyridamole,DDInter573
Diroximel fumarate,DDInter574
Disopyramide,DDInter575
Disulfiram,DDInter576
Dobutamine,DDInter577
Docetaxel,DDInter578
Docusate,DDInter579
Dofetilide,DDInter580
Dolasetron,DDInter581
Dolutegravir,DDInter582
Donepezil,DDInter583
Dopamine,DDInter584
Doravirine,DDInter585
Doripenem,DDInter586
Dornase alfa,DDInter587
Dorzolamide (ophthalmic),DDInter588
Doxacurium,DDInter590
Doxapram,DDInter591
Doxazosin,DDInter592
Doxepin,DDInter593
Doxepin (topical),DDInter594
Doxercalciferol,DDInter595
Doxorubicin,DDInter596
Doxorubicin (liposomal),DDInter597
Doxycycline,DDInter598
Doxycycline (topical),DDInter599
Doxylamine,DDInter600
Dronabinol,DDInter601
Dronedarone,DDInter602
Droperidol,DDInter603
Drospirenone,DDInter604
Drotrecogin alfa,DDInter605
Droxidopa,DDInter606
Dulaglutide,DDInter607
Duloxetine,DDInter608
Dupilumab,DDInter609
Durvalumab,DDInter610
Dutasteride,DDInter611
Duvelisib,DDInter612
Dyphylline,DDInter613
Echinacea,DDInter614
Echothiophate (ophthalmic),DDInter615
Econazole,DDInter616
Econazole (topical),DDInter617
Edoxaban,DDInter621
Edrophonium,DDInter622
Efalizumab,DDInter623
Efavirenz,DDInter624
Elagolix,DDInter625
Elbasvir,DDInter626
Eletriptan,DDInter627
Elexacaftor,DDInter628
Eliglustat,DDInter629
Elotuzumab,DDInter630
Eltrombopag,DDInter631
Eluxadoline,DDInter632
Elvitegravir,DDInter633
Emapalumab,DDInter634
Emicizumab,DDInter635
Empagliflozin,DDInter636
Emtricitabine,DDInter637
Enalapril,DDInter638
Enasidenib,DDInter639
Encorafenib,DDInter640
Enflurane,DDInter641
Enfortumab vedotin,DDInter642
Enoxacin,DDInter644
Enoxaparin,DDInter645
Entacapone,DDInter646
Entecavir,DDInter647
Entrectinib,DDInter648
Enzalutamide,DDInter649
Ephedrine,DDInter650
Ephedrine (nasal),DDInter651
Epinephrine,DDInter652
Epinephrine (ophthalmic),DDInter653
Epinephrine (topical),DDInter654
Epirubicin,DDInter655
Eplerenone,DDInter656
Epoprostenol,DDInter657
Eprosartan,DDInter658
Eptifibatide,DDInter659
Eravacycline,DDInter660
Erdafitinib,DDInter661
Ergocalciferol,DDInter662
Ergometrine,DDInter664
Ergotamine,DDInter665
Eribulin,DDInter666
Erlotinib,DDInter667
Ertapenem,DDInter668
Ertugliflozin,DDInter669
Erythromycin,DDInter670
Erythropoietin,DDInter671
Escitalopram,DDInter672
Esketamine,DDInter673
Eslicarbazepine,DDInter674
Esmolol,DDInter675
Esomeprazole,DDInter676
Estazolam,DDInter677
Esterified estrogens,DDInter678
Estradiol,DDInter679
Estradiol (topical),DDInter680
Estramustine,DDInter681
Estrone,DDInter682
Estrone sulfate,DDInter683
